4E00	M
4E01	MN
4E03	JU
4E07	MS
4E08	JK
4E09	MMM
4E0A	YM
4E0B	MY
4E0C	ML
4E0D	MF
4E0E	YSM
4E0F	MLVS
4E10	MYVS
4E11	NG
4E14	BM
4E15	MFM
4E16	PT
4E18	OM
4E19	MOB
4E1E	NEM
4E1F	HGI
4E26	TTC
4E2B	CL
4E2D	L
4E2E	NQ
4E30	QJ
4E31	VLLLM
4E32	LL
4E33	LLWW
4E38	KNI
4E39	BY
4E3B	YG
4E3C	TTI
4E42	K
4E43	NHS
4E45	NO
4E47	HP
4E48	HI
4E4B	INO
4E4D	HS
4E4E	HFD
4E4F	HINO
4E52	OMH
4E53	OMI
4E56	HJLP
4E58	HDLP
4E59	NU
4E5C	PN
4E5D	KN
4E5E	ON
4E5F	PD
4E69	YRU
4E73	BDU
4E7E	JJON
4E7F	BFU
4E82	BBU
4E83	FQU
4E84	GTU
4E86	NN
4E88	NINN
4E8B	JLLN
4E8C	MM
4E8D	MMN
4E8E	MD
4E91	MMI
4E92	MVNM
4E93	MML
4E94	MDM
4E95	TT
4E99	MBM
4E9B	YPMM
4E9E	MLLM
4E9F	MEM
4EA1	YV
4EA2	YHN
4EA4	YCK
4EA5	YVHO
4EA6	YLNC
4EA8	YRNN
4EAB	YRND
4EAC	YRF
4EAD	YRBN
4EAE	YRBU
4EB3	YRBP
4EB6	YWRM
4EB9	YHBM
4EBA	O
4EC0	OJ
4EC1	OMM
4EC2	OKS
4EC3	OMN
4EC4	MO
4EC6	OY
4EC7	OKN
4EC8	OC
4EC9	OHN
4ECA	OIN
4ECB	OLL
4ECD	ONHS
4ED4	OND
4ED5	OG
4ED6	OPD
4ED7	OJK
4ED8	ODI
4ED9	OU
4EDA	OU
4EDC	OM
4EDD	OM
4EDE	OSHI
4EDF	OHJ
4EE1	OON
4EE3	OIP
4EE4	OINI
4EE5	VIO
4EE8	OMMM
4EE9	OYM
4EF0	OHVL
4EF1	OOIN
4EF2	OL
4EF3	OPP
4EF4	OB
4EF5	OOJ
4EF6	OHQ
4EF7	OOLL
4EFB	OHG
4EFD	OCSH
4EFF	OYHS
4F00	OCI
4F01	OYLM
4F02	OJB
4F04	ONL
4F05	OPU
4F08	OP
4F09	OYHN
4F0A	OSK
4F0B	ONHE
4F0D	OMDM
4F0E	OJE
4F0F	OIK
4F10	OI
4F11	OD
4F12	OHML
4F13	OMF
4F14	OBHU
4F15	OQO
4F18	OIKU
4F19	OF
4F1D	OMMI
4F22	OMVH
4F2C	OSO
4F2D	OYVI
4F2F	OHA
4F30	OJR
4F33	OPT
4F34	OFQ
4F36	OOII
4F38	OLWL
4F3A	OSMR
4F3B	OMFJ
4F3C	OVIO
4F3D	OKSR
4F3E	OMFM
4F3F	ORC
4F41	OIR
4F43	OW
4F46	OAM
4F47	OJMN
4F48	OKLB
4F49	OGI
4F4C	OYMP
4F4D	OYT
4F4E	OHPM
4F4F	OYG
4F50	OKM
4F51	OKR
4F52	OLBK
4F53	ODM
4F54	OYR
4F55	OMNR
4F56	OPH
4F57	OJP
4F58	OMMF
4F59	OMD
4F5A	OHQO
4F5B	OLLN
4F5C	OHS
4F5D	OPR
4F5E	OMMV
4F5F	OHEY
4F60	ONF
4F61	OOU
4F62	OSS
4F63	OBQ
4F64	OMVN
4F67	OYMY
4F69	OHNB
4F6A	OWR
4F6B	OHER
4F6C	OJKP
4F6E	OOMR
4F6F	OTQ
4F70	OMA
4F73	OGG
4F74	OSJ
4F75	OTT
4F76	OGR
4F77	OAV
4F78	OHJR
4F79	ONMU
4F7A	OOMG
4F7B	OLMO
4F7C	OYCK
4F7D	OIMO
4F7E	OCB
4F7F	OJLK
4F80	OMTN
4F81	OHGU
4F82	OIHP
4F83	ORHU
4F84	OMIG
4F85	OYVO
4F86	DOO
4F87	OKN
4F88	ONIN
4F89	OKMS
4F8B	OMNN
4F8D	OGDI
4F8F	OHJD
4F90	OHBT
4F91	OKB
4F92	OJV
4F94	OIHQ
4F95	OMBL
4F96	OMBT
4F97	OBMR
4F98	OJHP
4F9A	OPA
4F9B	OTC
4F9C	OHBY
4F9D	OYHV
4F9E	OVR
4FAE	OOWY
4FAF	ONMK
4FB2	OMMV
4FB3	OOOG
4FB5	OSME
4FB6	ORHR
4FB7	OSSR
4FB9	ONKG
4FBA	OUON
4FBB	OCRU
4FBF	OMLK
4FC0	OBV
4FC1	ORVK
4FC2	OHVF
4FC3	ORYO
4FC4	OHQI
4FC5	OIJE
4FC7	OKHG
4FC9	OMMR
4FCA	OICE
4FCB	ORAU
4FCD	OIAV
4FCE	OOBM
4FCF	OFB
4FD0	OHDN
4FD1	ONIB
4FD3	OMVM
4FD4	OBUU
4FD6	OMFR
4FD7	OCOR
4FD8	OBND
4FD9	OKKB
4FDA	OWG
4FDB	ONAU
4FDC	OLWS
4FDD	ORD
4FDE	OMBN
4FDF	OIOK
4FE0	OKOO
4FE1	OYMR
4FEC	OHDI
4FEE	OLOH
4FEF	OIOI
4FF1	OBMC
4FF3	OLMY
4FF4	OII
4FF5	OQMV
4FF6	OYFE
4FF7	OBAU
4FF8	OQKQ
4FFA	OKLU
4FFE	OHHJ
5000	OSMV
5005	OYOJ
5006	OMLB
5007	OJNU
5009	OIAR
500B	OWJR
500C	OJRR
500D	OYTR
500E	OTBC
500F	OLOK
5011	OAN
5012	OMGN
5013	OFF
5014	OSUU
5015	OHJM
5016	OGTJ
5017	OBB
5018	OFBR
5019	OLNK
501A	OKMR
501B	OTMC
501C	OBGR
501E	OYRF
501F	OTA
5020	OOG
5021	OAA
5022	OJLO
5023	OYSK
5025	OJCM
5026	OFQU
5027	OJMF
5028	OSJR
5029	OQMB
502A	OHXU
502B	OOMB
502C	OYAJ
502D	OHDV
502F	ODCI
5030	OGCE
5031	OAPP
5033	OJLN
5035	OMPM
5037	OKMF
503C	OJBM
5040	OTLK
5041	OBGB
5043	OSAV
5045	OHJG
5046	OQKA
5047	ORYE
5048	OAPV
5049	ODMQ
504A	OHLB
504B	OSTT
504C	OTKR
504D	OAMO
504E	OWMV
504F	OHSB
5051	OHNI
5053	OSMG
5055	OPPA
5057	OFHU
505A	OJRK
505B	OHJX
505C	OYRN
505D	OLPB
505E	OPTD
505F	OHAG
5060	OMWV
5061	OTMV
5062	OHDF
5063	OYTA
5064	OTCW
5065	ONKQ
5068	OYPD
5069	ONBC
506A	OMRW
506B	OHOI
506D	OMWL
506E	ORSJ
506F	OYRV
5070	OQHK
5072	OWP
5073	OUMB
5074	OBCN
5075	OYBC
5076	OWLB
5077	OOMN
507A	OHOA
507D	OIKF
5080	OHI
5082	OHYU
