3400	JAAU1 KAAU5
3401	TIM2
3405	NG5
3406	JAAN2
340C	JYU4
3416	JIP6
341C	CHAAU4
3421	NO6
3424	KAAU4
3428	JEUI6
3429	JING4
342B	GUN3 HUNG1 JUNG1
342C	LAAU4
342D	LAAM5
342E	SEUNG1
342F	JUNG4
3430	SEUN3
3431	CHA5 CHAAN2 DOU3 JAAN2
3432	DAI6
3433	NGAAT6
3434	PAN1
3437	MA6
3438	GIM1 HIM3
3439	GO1 KWOK3 NGAAT6
343A	JUNG3
343B	FU1 MOU5 NOI6
343C	CHING2
343D	FUNG1
3441	JYUT3 JYUT6
3442	FONG2 PONG4
3443	AU2 AU3 PAAI1
3444	MOU5
3445	JOK3 JOK6
3447	JAAU3
3448	DUNG1
3449	CHUK1
344A	JIK6
344B	KUNG4
344C	HONG1
344D	LEUI5
344E	NOU5
344F	CHYU5 JYU2
3450	SUK1
3454	SEUI2
3457	SAAN1 SAAN6
3458	GAI3
3459	DIP6
345A	NA4 NO4
345B	CHUK1
345C	JAAI6
345D	LUNG6
345E	JING6
345F	MANG1
3463	LAM2 LAM4
3464	MIU4
3465	JI6
3466	LEUI6
3467	GWAAI3
3468	JYU5
3469	LO4
346A	CHAI4
346E	GWAAT1 WAAN4
346F	SEUI1
3470	FUI4
3471	NAU4
3473	JAAU3
3474	CHAAM1 CHAM1
3475	JAAT6
3476	HAAI4 HEI3
3477	TAI3
3478	JIU4
3479	GWAT3 MOK6 WUI6
347A	JEUI6 JEUN3
347B	MA6 MEI5
347C	LEUK6
347D	TONG4
347E	JIU4
347F	CHEUK3 HUK6 JAU3 JIU6
3480	CHIM4 CHIP3 JAK6
3481	JYU5 SOU3
3482	JEUK6
3483	JI6
3484	JIM5 NGAM4
3485	KAAI2
3486	KAAP1
3487	NG5
3488	HON6
3489	TONG2
348A	SAAP1 SIK1
348B	SI1
348C	KING4
348D	LEUI5
348E	SAT3
3491	HUNG2 KUI2 WAK6
3492	BUK6
3493	TAT3
3494	SUK6
3495	JEUNG1
3496	NGAAU5
3497	TOI4
3499	MIN4 MIN6
349A	WAAN2
349B	DEUI2 DIU6
349C	JYU5
349D	JIU5 MIT6
349E	JEUN3
349F	NIU5 SEUI1
34A0	HAI6
34A1	JAAU4
34A4	JIP3 SIP3
34A5	FUNG1 GAAM2
34A6	DEUI3 LEUI5
34A7	LAAI6
34A8	SIN1
34A9	LO2
34AA	SEK3
34AB	GEI3 HEI2
34AD	KWAAN1 KWAAN1 LEUI4
34B0	CHYUN4 JAN2
34B2	CHOI4
34B3	LEUNG5
34B4	GWAAT1
34B5	MAU6 MO1
34B6	GUNG1
34B7	HING2 HING3
34B8	SEUI6
34B9	DIN1
34BB	MOU6
34BC	MUN4
34BD	HYUN1
34BE	SI6
34BF	LEI4
34C1	MONG5
34C2	KAAU3 TAAU3
34C3	DOU3
34C4	JAAM3 SAAM2
34C5	DING1 TING1
