39D6	30d
410D	68c
4E2B	1
4E33	94
4E4D	52a
4E95	3315
4E9E	7
4EA5	765a
4F5C	3450
5000	98a
50B5	63
5115	70a
5133	84a
518C	79
51F9	23
524C	1458
5257	92
5277	93
5340	39a
5384	30a
53C9	54
5416	2
5440	3 6 8
5443	30
548B	49
54FD	33c
5509	25
5535	31a
555E	5
55B3	61
55CC	11
5614	40
562C	68a
56B6	33a
5773	24a
577C	81
58BE	666
58D3	19
5A6D	7b
5B55	3829
5B85	77a
5BE8	64
5C6D	27
5C94	56
5DEE	53 65
5E44	30f
5FB5	242c 294
6046	672
6052	672
605D	18a
609A	2890c
60B4	2879a
6115	2071b
6194	3401c
61FA	84b
621E	18b
6239	30b
6260	55a
627C	30c
62BC	17 20
62C6	78
62D7	22 24
6328	10
6399	99
63A9	31
63AA	73a
63DE	31
63E0	18c
63E1	30g
63E5	64b
63F8	43
6413	66
643D	61d
643E	50
6458	74
6490	100
64AC	1190
64B0	89b
64C7	75
64E2	77c
64F2	77
6500	2237
6519	84c
65AC	82
664F	15
66F4	34
6748	55
6749	84
67DE	73b
67F4	69 70b
67F5	81a
67FB	60
6854	18d
68CA	1122
68CB	1122
68D2	2244
68D6	85 94a
68E7	88
69A8	47
69CE	61a
6AE8	1675f
6B50	38
6BC6	41
6C4A	55b
6D3D	35
6E23	45
6E25	30h
6E43	2210a
6E5B	82a
6F1A	39 42
6F66	1628a
6FA4	76
70AC	1311b
70B8	52
70DF	883
7159	883
71BE	259d
71C9	3009
722D	95
731C	67
732B	1755
7416	85a
750C	39b
7522	90
75AB	3903
75C4	51
761F	3749
7627	3877b
7635	68b
76D4	1381
76DE	86
7736	793
775C	98
7784	1836a
77EE	26
7826	64
78A9	2666a
78E7	73
7A84	72
7A96	1002a
7AD9	83
7B1B	3066
7B56	80
7B74	81b
7BF7	2522
7CDE	486
7DBB	89a
7F22	29
7F43	33b
7F4C	16
7FDF	77d
7FE0	3486
7FE1	476a 511e
7FF3	28
8151	553f
81E5	2064
8256	61b
829D	234
8326	81c
8336	58
83E1	13a
846F	3875
84B8	292
84BC	3458
8514	2225
85AF	2768
85CF	3460
85E5	3875
85F7	2768
8638	82b
863F	1643
86B1	52b
8721	68c
8806	68d
88F4	2487a
892A	3011
8A50	48
8A6B	57
8A79	278f
8B10	1793d
8B2B	77b
8B33	37
8B81	77e
8C78	64a
8C7A	70
8C93	1755
8CAC	71
8CFA	83a
8D03	83a 87
8E2D	97
8E35	422b
8E39	68
8E6C	3017b
8E6D	2552a
8E91	77f
8EB7	26
8EDB	12
8FEE	73c
904F	21
90A3	9
9162	47
9165	2835
916C	184
9186	85b
91F5	54 67a
922A	13
9234	1580
93DF	91
95BC	18e
9628	30e
963F	7a
964B	1509
978F	1341
9830	984
994C	89
9A30	3018c
9B93	46
9CF6	3669h
9D09	4
9D28	18
9DAF	32
9EBD	1863
9F4B	62
233B4	3007
