346B	nộm
34DF	phay
34E0	chẻm
34F6	khía
356D	êu
3570	mau
3575	uống
3578	lắp
3587	nhe
3591	nhái
3597	sùm
35A0	nhại
35A3	vòi
35A7	hôn
35AB	lừng
35B9	vồn
35BC	mỏ
35BD	hợt
35D1	bới
35D6	thào
35D9	sò
35DA	trắt
35DC	súc
35E2	rống
35F4	nhằn
3607	vang
360B	hờn
3613	ran
3628	nồi
3664	hố
366E	đắp
3674	thềm
36EA	em
3874	lụp
3913	bỡn
3915	trót
3921	sệt
3933	bẽ
3965	ngùng
3986	hú
3989	nhát
3996	muốn
39C5	đeo
39CD	phang
39FC	bíu
39FE	hốt
3A14	giằm
3A22	nâng
3A36	đẽo
3A52	cắm
3A5C	giam
3A61	dủi
3A62	mót
3A67	bẹo
3AFB	luôn
3AFC	xế
3AFE	thửng
3B72	góc
3B88	nậy
3B94	tròng
3BDD	rọ
3BF2	cụm
3BF7	bục
3BFF	xộp
3C01	lõi
3CB8	ướt
3CC9	ngoét
3CCC	nhớp
3CE5	lỏng
3CEA	vữa
3CEF	tăn
3CF6	nhỏ
3D52	phè
3D62	loi
3DA4	tạch
3DDA	đoành
3DDD	dụt
3E65	chó
3E6F	hươu
3E94	voi
3E9E	dữ
3EA7	heo
3F73	võ
3F7F	cùi
3F84	rù
3FBE	hem
4021	xem
4027	hòng
4029	nhác
405B	coi
41C4	ngất
41FB	vỉ
422B	nắp
42B7	chài
42D6	luột
42E5	lưới
42E6	mối
43E7	da
43FE	bọng
4425	ỏng
442D	giái
4443	mông
449C	ngâu
4532	đắng
455D	sắng
456F	bèo
45B4	riêu
45B7	he
45CA	vẹm
4606	hến
47E2	giẫy
47EC	kheo
4823	rón
48A6	suốt
48F7	chua
4920	chỉa
4932	xích
4C4A	mè
4C55	mòi
4CC2	sếu
4CF1	vọ
4D0C	mòng
66F2	giả
66F4	xâu
6771	hốc
67C6	cũi
67D1	đàn
67FF	niêu
6817	niêu
6821	đắng
6848	duyên
68CD	điềm
68DF	nhắm
68E7	suông
6994	tóm
6996	kéo
699C	xách
6A33	đẽo
6A81	day
6AAC	quạt
6ACA	hàn
6B04	đan
6B46	cắn
6B7B	phơi
6B83	trưa
6B98	đêm
6BBC	nôi
6BCF	dằm
6BEC	choác
6C34	héo
6C50	đập
6C55	khung
6C70	vè
6C72	cụm
6C92	mớ
6C96	khem
6C99	vành
6CB1	săng
6CE5	nhãn
6CEA	thớt
6D01	thợ
6D2A	suyền
6D32	chòng
6D37	sờ
6D96	rang
6D9E	thui
6DDF	sượng
6DE2	thổi
6E2D	ngan
6E48	sói
6F86	khú
6F8E	dề
6FC0	váng
6FD5	lậu
703E	nhắm
7051	ngơ
708A	tròn
7096	đoái
70B3	đòng
7185	đào
7191	mũi
71CE	díp
7210	chùa
7246	teo
725F	rậm
72FC	lừa
