418B	U+9F9D
4E04	U+4E0A
4E05	U+4E0B
4E07	U+842C
4E0A	U+4E04
4E0B	U+4E05
4E0C	U+5176
4E0D	U+F967
4E0E	U+8207
4E11	U+919C
4E16	U+4E17
4E17	U+4E16
4E18	U+4E20
4E1A	U+696D
4E1B	U+53E2
4E1C	U+6771
4E1D	U+7D72
4E1F	U+4E22
4E21	U+5169
4E22	U+4E1F
4E23	U+9149
4E24	U+5169
4E25	U+56B4
4E26	U+5E77
4E27	U+55AA
4E2C	U+723F
4E30	U+8C50
4E31	U+535D
4E32	U+F905
4E34	U+81E8
4E39	U+F95E
4E3A	U+70BA
4E3C	U+4E95
4E3D	U+9E97
4E43	U+5EFC
4E45	U+4E46
4E46	U+4E45
4E47	U+8650
4E49	U+7FA9
4E4C	U+70CF
4E50	U+6A02
4E55	U+864E
4E57	U+4E58
4E58	U+4E57
4E60	U+7FD2
4E61	U+9109
4E66	U+66F8
4E69	U+7A3D
4E70	U+8CB7
4E71	U+4E82
4E7E	U+5E72
4E80	U+9F9C
4E81	U+4E7E
4E82	U+4E71
4E86	U+F9BA
4E88	U+8C6B
4E89	U+722D
4E8A	U+4E8B
4E8B	U+4E8A
4E8C	U+8D30
4E8E	U+6275
4E8F	U+8667
4E91	U+96F2
4E93	U+5176
4E94	U+4F0D
4E95	U+4E3C
4E97	U+6B72
4E98	U+4E99
4E9A	U+4E9E
4E9C	U+4E9E
4E9D	U+9F4A
4E9E	U+4E9C
4EA1	U+4EBE
4EA7	U+7522
4EA9	U+755D
4EAC	U+4EB0
4EAE	U+F977
4EAF	U+4EAB
4EB0	U+4EAC
4EB1	U+591C
4EB2	U+89AA
4EB5	U+893B
4EB7	U+5EC9
4EB8	U+56B2
4EBF	U+5104
4EC0	U+F9FD
4EC1	U+5FC8
4EC2	U+50CD
4EC3	U+505C
4EC5	U+50C5
4EC6	U+50D5
4EC7	U+8B90
4ECE	U+5F9E
4ECF	U+4F5B
4ED1	U+4F96
4ED3	U+5009
4ED9	U+50CA
4EDD	U+540C
4EDE	U+4EED
4EDF	U+5343
4EE4	U+F9A8
4EEC	U+5011
4EED	U+4EDE
4EEE	U+5047
4EF7	U+50F9
4EFD	U+5F6C
4EFF	U+5023
4F0D	U+4E94
4F18	U+512A
4F19	U+5925
4F1A	U+6703
4F1B	U+50B4
4F1C	U+5005
4F1D	U+50B3
4F1E	U+5098
4F1F	U+5049
4F20	U+50B3
4F23	U+4FD4
4F24	U+50B7
4F25	U+5000
4F26	U+502B
4F27	U+5096
4F29	U+4FE1
4F2A	U+507D
4F2B	U+4F47
4F32	U+4F60
4F47	U+4F2B
4F48	U+5E03
4F53	U+9AD4
4F54	U+5360
4F59	U+9918
4F5B	U+4ECF
4F5E	U+4FAB
4F60	U+59B3
4F70	U+767E
4F75	U+5002
4F84	U+59EA
4F86	U+F92D
4F89	U+8A87
4F96	U+4ED1
4FA0	U+4FE0
4FA1	U+50F9
4FA3	U+4FB6
4FA5	U+50E5
4FA6	U+5075
4FA7	U+5074
4FA8	U+50D1
4FA9	U+5108
4FAB	U+4F5E
4FAC	U+5102
4FAD	U+5118
4FB6	U+4FA3
4FBF	U+F965
